,Unnamed: 0,gold_label,sentence1,sentence2,,,
566105,556269,entailment,The blue kayak is being ridden over a small waterfall.,A kayak is being ridden.,,,
561954,552118,contradiction,A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back.,The person is alone in the middle of the ocean.,,,
560383,550541,neutral,There is a group of children getting their picture taken with presents.,Young children open presents under a large Christmas tree.,,,
566067,556231,entailment,"A boy in an orange ""Spring Hill"" ball team uniform, pitching the ball.",A boy pitches the ball.,,,
567713,557877,entailment,A young dark-haired woman with red sun visor holding an open white umbrella amidst a crowd of people,A raven haired woman is seen by the crowd holding a white opened umbrella.,,,
564800,554964,neutral,Two people in coats kiss on the side of a road.,A recently engaged couple embrace on the street.,,,
561690,551851,entailment,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp.",A person rides a skateboard.,,,
560360,550518,contradiction,A girl jumps in the air.,A girl jumping rope on Mars.,,,
560338,550496,entailment,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs.,A woman rises from a chair,,,
567952,558116,entailment,Three people are outside.,Three people in nature.,,,
568133,558297,neutral,A swan landing in a lake.,A bird is looking for food on a lake.,,,
568104,558268,neutral,A singer wearing a leather jacket performs on stage with dramatic lighting behind him.,a singer is on american idol,,,
563064,553228,neutral,Older man wearing dark blue clothing sweeping the ground and a person wearing a red coat and carrying a green bag entering the building.,An older man is sweeping his patio while a passerby enters a building,,,
561483,551641,neutral,Two people bicycle on a path separated by small mountains.,Two people are in a bike race.,,,
559416,549574,neutral,A person in a red shirt and black pants hunched over.,The person is a woman.,,,
566423,556587,neutral,Six older women are standing in a row at a table smiling and looking trough books and other material displayed on the table.,Women are looking at books on sale at a library.,,,
562717,552881,entailment,A brown and black dog rubs his face in the grass.,The dog is outside.,,,
568698,558862,entailment,"By a table with several boxes and two coffee cups on it, a woman in a green sweater is opening a small box and another person (whose head cannot be seen) is operating a small handheld electronic device.",A woman in green opening a box while a half concealed man manipulates a handheld device.,,,
565350,555514,contradiction,A woman finishing a marathon race.,The woman is not going to finish the race.,,,
560809,550967,entailment,The man is trying to make a pottery that he can market soon.,A man is making pottery.,,,
567006,557170,entailment,A man with a beard sitting in front of the tour bus.,A guy is riding the bus.,,,
567801,557965,neutral,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",A person with a great tatto,,,
564585,554749,contradiction,"A man, with a full face mask, sits on a sidewalk playing the guitar.",A woman is wearing a mask,,,
559660,549818,entailment,"A group of four children pose on a muddy beach, smiling and making faces.",Four kids pose on a beach.,,,
566563,556727,contradiction,"A bearded man, using a wooden pole, stirs bowl-like objects around in a large metal box filled with water.",A woman is putting on mascara.,,,
560542,550700,contradiction,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man eats a hamburger while his friend asks for a bite.,,,
563787,553951,contradiction,a male teen is working on a school project.,The boy sitting on top of his dads truck.,,,
563143,553307,neutral,A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.,A young couple is very much in love.,,,
560183,550341,entailment,a man in a red shirt is laying on the grass reaching out to another person.,A man in red is holding out his hand.,,,
561479,551637,entailment,The small boy is running through a grassy area.,A boy is running outside.,,,
562251,552415,entailment,Women in blue dress singing on stage.,A woman is singing on stage.,,,
562772,552936,entailment,A little boy in a black and red striped shirt walks down a grassy hill.,The boy is walking outside.,,,
566279,556443,contradiction,City street crowded with sports fans wearing orange.,The sports fans are wearing yellow.,,,
568282,558446,neutral,"Stretching high in the air, the player in the black shirt reaches for the football as the other stretches toward him to steal it away.",A wide reciever is trying to make a catch.,,,
565708,555872,entailment,A man has wrecked his racing bike in the dirt with five spectators behind a rope.,A man has damaged something.,,,
563741,553905,entailment,Two men and two women in jackets walk down a large city street.,There are people outside.,,,
568351,558515,entailment,A woman is observing pictures on a camera.,A women observing a camera,,,
565633,555797,contradiction,Little boy getting soaked playing an outdoor water game.,A girl is playing the piano in her living room.,,,
568604,558768,entailment,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy dressed for summer in a green shirt and kahki shorts,,,
562283,552447,entailment,A dog is on the beach near a ball.,A dog is on the beach.,,,
560197,550355,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,,,
568360,558524,contradiction,A mother shading her baby with an umbrella as she and her partner climb the stairs.,Two fathers maneuver their baby strollers into a foyer.,,,
564149,554313,contradiction,A man wearing red sunglasses is carrying two cameras.,The man has blue sunglasses.,,,
559970,550128,contradiction,A young boy in red leaping into sand at a playground.,A child does a cannonball into a pool.,,,
560650,550808,neutral,"First Lady Laura Bush at podium, in front of seated audience, at the White House Conference on Global Literacy.",Laura Bush is giving a talk about the importance of literacy to young people.,,,
563420,553584,entailment,Various men in wetsuits and goggles are standing.,Men are in wetsuits,,,
564549,554713,entailment,The baseball players near the pitching mound are celebrating as the batsman walks away.,The batsman is on a different team than the others around the pitching mound.,,,
562777,552941,contradiction,A guy in a yellow shirt performs a balancing act on a taught chain near a canal.,A boy is watching a movie in his living room.,,,
567068,557232,entailment,"A group of men in blue shirts, banded hats, and red bandannas stand in a group.",a bunch of guys in colorful clothes stand together,,,
568650,558814,entailment,A woman holding a newborn baby.,woman holds baby,,,
559485,549643,contradiction,A skateboarding youth does a trick on a rail.,A man painting a tree.,,,
559755,549913,contradiction,Four children are playing in some water.,The children are doing chores.,,,
561555,551716,contradiction,Three men dressed in suits and ties clasps their raised hands while standing in front of corporate logos.,One of the men is actually sasquatch.,,,
