,Unnamed: 0.1,Unnamed: 0,gold_label,sentence1,sentence2,SET,relaciones,faltantes,CLASS2
15,559578,549736,neutral,The sun breaks through the trees as a child rides a swing.,The child on the swing is a girl.,TEST,"[('child,NOUN', 'child,NOUN', 1.0), ('swing,NOUN', 'swing,NOUN', 1.0), ('child,NOUN', 'girl,NOUN', 0.9090909090909091, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
16,564232,554396,entailment,A man wearing a shite short-sleeved shirt kisses a woman wearing a light pink jacket while standing on a public street.,A man is kissing a woman,TEST,"[('man,NOUN', 'man,NOUN', 1.0), ('kisses,VERB', 'kiss,H', 1.0), ('woman,NOUN', 'woman,NOUN', 1.0)]",[],entailment
17,562681,552845,contradiction,Someone splashing in the water.,Someone is having a picnic near the lake.,TEST,"[('Someone,PRON', 'Someone,PRON', 1.0), ('body_of_water,NOUN', 'lake,A', 1.0), ('water,NOUN', 'lake,A', 1.0), ('splashing,VERB', 'having,VERB', 0.5, 0.3333333333333333, 2.159484249353372, None), ('water,NOUN', 'picnic,NOUN', 0.7142857142857143, 0.2, 2.0281482472922856, 4)]",[],entailment
18,567445,557609,contradiction,An elderly lady holding a scruffy dog and smiling contently.,a woman holding a scruffy cat,TEST,"[('lady,NOUN', 'woman,H', 1.0), ('holding,VERB', 'holding,VERB', 1.0), ('scruffy,ADJ', 'scruffy,ADJ', 1.0), ('dog,NOUN', 'cat,NOUN', 0.8571428571428571, 0.2, 2.0281482472922856, 4)]",[],entailment
19,564974,555138,entailment,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,TEST,"[('woman,NOUN', 'woman,NOUN', 1.0), ('preparing,VERB', 'preparing,VERB', 1.0), ('food,NOUN', 'food,NOUN', 1.0), ('boy,NOUN', 'child,NOUN', 0.9090909090909091, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
20,565004,555168,entailment,A woman is holding a microphone in one hand and her mouth is open.,A woman standing at a microphone,TEST,"[('woman,NOUN', 'woman,NOUN', 1.0), ('microphone,NOUN', 'microphone,NOUN', 1.0), ('holding,VERB', 'standing,VERB', 0.75, 0.3333333333333333, 2.159484249353372, 2)]",[],entailment
21,562944,553108,entailment,A young girl in a white t-shirt and a blue skirt wearing a light colored hat stands in a river next to a big rock.,A girl is wearing a hat.,TEST,"[('girl,NOUN', 'girl,NOUN', 1.0), ('wearing,VERB', 'wearing,VERB', 1.0), ('hat,NOUN', 'hat,NOUN', 1.0)]",[],entailment
22,565782,555946,neutral,A gymnast using a set of paralleled bars.,A young gymnast is performing.,TEST,"[('gymnast,NOUN', 'gymnast,NOUN', 1.0), ('using,VERB', 'young,ADJ', 0.5, 0.3333333333333333, 0, None), ('using,VERB', 'performing,VERB', 0.5, 0.3333333333333333, 2.159484249353372, None)]",[],neutral
23,566854,557018,contradiction,"A guy with a football, a crowd watching him.",There is a guy with a basketball.,TEST,"[('atomic_number_2,PRON', 'is,A', 1.0), ('helium,PRON', 'is,A', 1.0), ('He,PRON', 'is,A', 1.0), ('Guy,NOUN', 'is,A', 1.0), ('guy,NOUN', 'guy,NOUN', 1.0), ('watching,VERB', 'There,PRON', 0.5, 0.3333333333333333, 0, None), ('football,NOUN', 'basketball,NOUN', 0.9, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
24,566880,557044,entailment,Seven young girls are being creative and making posters.,Girls are making posters.,TEST,"[('girls,NOUN', 'girl,H', 1.0), ('making,VERB', 'making,VERB', 1.0), ('posters,NOUN', 'posters,NOUN', 1.0)]",[],entailment
25,559430,549588,neutral,"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a light jean jacket.,TEST,"[('old,ADJ', 'old,ADJ', 1.0), ('woman,NOUN', 'woman,NOUN', 1.0), ('hat,NOUN', 'has,A', 1.0), ('lid,NOUN', 'has,A', 1.0), ('chapeau,NOUN', 'has,A', 1.0), ('jacket,NOUN', 'jacket,NOUN', 1.0), ('old,ADJ', 'light,ADJ', 0.5, 0.3333333333333333, -0.4054651081081644, None)]",[],entailment
26,566795,556959,entailment,A man is throwing a small white ball at some red cups.,The man playing a game.,TEST,"[('man,NOUN', 'man,NOUN', 1.0), ('throwing,VERB', 'playing,VERB', 0.5714285714285714, 0.25, 1.8718021769015913, 3), ('man,NOUN', 'game,NOUN', 0.8888888888888888, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
27,566533,556697,entailment,Several street vehicles pass by a traditional architecture style of Thailand.,Vehicles are going down a street in Thailand.,TEST,"[('vehicles,NOUN', 'vehicle,H', 1.0), ('pass,VERB', 'go,H', 1.0), ('street,NOUN', 'street,NOUN', 1.0)]",[],entailment
28,567628,557792,entailment,Man and a woman at the side of a table covered in books.,People near a lot of reading materials.,TEST,"[('side,NOUN', 'People,NOUN', 0.8235294117647058, 0.25, 2.2512917986064953, 3), ('books,NOUN', 'lot,NOUN', 0.8, 0.3333333333333333, 2.538973871058276, 2), ('covered,VERB', 'reading,VERB', 0.7272727272727273, 0.25, 1.8718021769015913, 3), ('Man,NOUN', 'materials,NOUN', 0.8235294117647058, 0.25, 2.2512917986064953, 3)]",[],entailment
29,568895,559059,neutral,A group of people wait to cross the street in new york,Some of the people are wearing sunglasses.,TEST,"[('people,NOUN', 'people,NOUN', 1.0), ('wait,VERB', 'Some,PRON', 0.5, 0.3333333333333333, 0, None), ('wait,VERB', 'wearing,VERB', 0.5, 0.3333333333333333, 2.159484249353372, None), ('street,NOUN', 'sunglasses,NOUN', 0.5, 0.09090909090909091, 1.2396908869280152, 10)]",[],neutral
30,567310,557474,neutral,Two guys in blue shirts talking.,Two men complimenting each other on their blue shirts.,TEST,"[('guys,NOUN', 'man,H', 1.0), ('blue,ADJ', 'blue,ADJ', 1.0), ('shirts,NOUN', 'shirts,NOUN', 1.0), ('talking,VERB', 'complimenting,VERB', 0.6666666666666666, 0.25, 1.8718021769015913, 3), ('Two,NUM', 'other,ADJ', 0.5, 0.3333333333333333, 0, None)]","['their,PRON']",contradiction
31,562478,552642,contradiction,The child is hanging upside down with his legs over a pole.,There is an adult upside down.,TEST,"[('hang_up,VERB', 'be,A', 1.0), ('hang,VERB', 'be,A', 1.0), ('upside,ADV', 'upside,ADV', 1.0), ('down,ADV', 'down,ADV', 1.0), ('pole,NOUN', 'There,PRON', 0.6666666666666666, 0.2, 0, 4), ('child,NOUN', 'adult,NOUN', 0.75, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
32,563037,553201,contradiction,"Four young men stare up at a basketball hoop with no net, in an outdoor, urban basketball court.",A group of women playing basketball in a gym.,TEST,"[('men,NOUN', 'group,H', 1.0), ('court,NOUN', 'group,H', 1.0), ('basketball,NOUN', 'playing,A', 1.0), ('basketball,NOUN', 'basketball,NOUN', 1.0), ('men,NOUN', 'women,NOUN', 0.7058823529411765, 0.25, 2.2512917986064953, 3), ('net,NOUN', 'gym,NOUN', 0.6666666666666666, 0.16666666666666666, 1.845826690498331, 5)]",[],entailment
33,565514,555678,entailment,A group of people celebrating in the street.,There is a celebration going on,TEST,"[('street,NOUN', 'is,A', 1.0), ('fete,VERB', 'celebration,A', 1.0), ('celebrate,VERB', 'celebration,A', 1.0), ('celebrating,VERB', 'There,PRON', 0.5, 0.3333333333333333, 0, None), ('celebrating,VERB', 'going,VERB', 0.5, 0.3333333333333333, 2.159484249353372, None)]",[],entailment
34,565228,555392,contradiction,A man and a woman stand in front of a Christmas tree contemplating a single thought.,Two people talk loudly in front of a cactus.,TEST,"[('front,NOUN', 'front,NOUN', 1.0), ('woman,NOUN', 'people,NOUN', 0.8, 0.3333333333333333, 2.538973871058276, 2), ('single,ADJ', 'loudly,ADV', 0.5, 0.3333333333333333, 0, None), ('tree,NOUN', 'cactus,NOUN', 0.8, 0.2, 2.0281482472922856, 4)]","['talk,VERB']",contradiction
35,567306,557470,neutral,A casually dressed young blond woman is looking away sadly as couple near her are kissing.,A woman looks away after recognizing her ex-boyfriend kissing his new girl.,TEST,"[('woman,NOUN', 'woman,NOUN', 1.0), ('looking,VERB', 'look,H', 1.0), ('away,ADV', 'away,ADV', 1.0), ('kissing,VERB', 'kissing,VERB', 1.0), ('new,ADJ', 'new,ADJ', 1.0), ('looking,VERB', 'recognizing,VERB', 0.8235294117647058, 0.25, 1.8718021769015913, 3), ('woman,NOUN', 'ex,NOUN', 0.9473684210526315, 0.5, 2.9444389791664407, 1), ('woman,NOUN', 'boyfriend,NOUN', 0.6666666666666666, 0.25, 2.2512917986064953, 3), ('woman,NOUN', 'girl,NOUN', 0.9473684210526315, 0.5, 2.9444389791664407, 1)]","['her,PRON', '-,NOUN', 'his,PRON']",contradiction
36,567859,558023,entailment,Girls giving a presentation for a school class.,The girls are inside a school.,TEST,"[('Girls,NOUN', 'girl,H', 1.0), ('school,NOUN', 'school,NOUN', 1.0)]",[],entailment
37,564575,554739,neutral,A man and a child painting a post.,The father and son are repairing the sign.,TEST,"[('kid,NOUN', 'son,A', 1.0), ('child,NOUN', 'son,A', 1.0), ('man,NOUN', 'father,NOUN', 0.7058823529411765, 0.25, 2.2512917986064953, 3), ('post,NOUN', 'sign,NOUN', 0.8, 0.3333333333333333, 2.538973871058276, 2)]","['repairing,VERB']",contradiction
38,560760,550918,neutral,A young boy holding a red toy wearing green snowman and reindeer pajamas with an older woman on a couch behind him.,The older woman behind the young boy is his mother.,TEST,"[('older,ADJ', 'older,ADJ', 1.0), ('woman,NOUN', 'woman,NOUN', 1.0), ('young,ADJ', 'young,ADJ', 1.0), ('boy,NOUN', 'boy,NOUN', 1.0), ('older,ADJ', 'his,A', 1.0), ('sr.,ADJ', 'his,A', 1.0), ('elder,ADJ', 'his,A', 1.0), ('woman,NOUN', 'mother,NOUN', 0.9, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
39,564581,554745,entailment,A lady with blue jeans and a brown shirt is speaking on her cellphone on the second floor of the mall.,the lady is talking on her phone,TEST,"[('lady,NOUN', 'lady,NOUN', 1.0), ('speaking,VERB', 'talk,H', 1.0), ('her,PRON', 'her,PRON', 1.0), ('cellphone,NOUN', 'phone,H', 1.0)]",[],entailment
40,562440,552604,neutral,A person obscured in shadow in a gymnasium.,The person is trying to be sneaky.,TEST,"[('person,NOUN', 'person,NOUN', 1.0)]","['trying,VERB', 'sneaky,VERB']",contradiction
41,564139,554303,neutral,African woman walking through field.,The african woman is looking for someone in the fields.,TEST,"[('woman,NOUN', 'woman,NOUN', 1.0), ('woman,NOUN', 'someone,H', 1.0), ('field,NOUN', 'field,H', 1.0), ('African,ADJ', 'african,ADJ', 1.0, 1.0, 0.6931471805599453, 0), ('African,ADJ', 'looking,VERB', 0.5, 0.3333333333333333, 0, None)]",[],entailment
42,561870,552031,contradiction,Men are playing rugby while covered in mud.,The men are perfectly free of mud.,TEST,"[('men,NOUN', 'men,NOUN', 1.0), ('mud,NOUN', 'mud,NOUN', 1.0), ('playing,VERB', 'perfectly,ADV', 0.5, 0.3333333333333333, 0, None), ('playing,VERB', 'free,ADJ', 0.5, 0.3333333333333333, 0, None)]",[],entailment
43,567080,557244,neutral,A child with curly blond-hair looks at another child with long brown hair while sitting on a bench.,The school kids are relaxing during recess.,TEST,"[('child,NOUN', 'kid,H', 1.0), ('while,SCONJ', 'school,NOUN', 0.7692307692307693, 0.25, 0, 3), ('curly,ADJ', 'relaxing,VERB', 0.4, 0.25, 0, None), ('hair,NOUN', 'recess,NOUN', 0.625, 0.14285714285714285, 1.6916760106710724, 6)]",[],neutral
44,567481,557645,entailment,A shirtless man with cropped hair smokes a cigarette and ties a plastic bag.,The man is not wearing a shirt.,TEST,"[('man,NOUN', 'man,NOUN', 1.0), ('cropped,ADJ', 'wearing,VERB', 0.5, 0.3333333333333333, 0, None), ('hair,NOUN', 'shirt,NOUN', 0.625, 0.14285714285714285, 1.6916760106710724, 6)]",[],neutral
45,563460,553624,neutral,A group of people stares at a wall that is filled with drawings in a building.,A group of people analyze art together,TEST,"[('group,NOUN', 'group,NOUN', 1.0), ('people,NOUN', 'people,NOUN', 1.0), ('drawings,NOUN', 'art,H', 1.0), ('radical,NOUN', 'together,A', 1.0), ('group,NOUN', 'together,A', 1.0), ('chemical_group,NOUN', 'together,A', 1.0), ('stares,VERB', 'analyze,VERB', 0.4, 0.25, 1.8718021769015913, None)]",[],entailment
46,565640,555804,neutral,A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl captures a butterfly for a science fair project,TEST,"[('girl,NOUN', 'girl,NOUN', 1.0), ('butterfly,NOUN', 'butterfly,NOUN', 1.0), ('curly,ADJ', 'captures,VERB', 0.4, 0.25, 0, None), ('curly,ADJ', 'fair,ADJ', 0.5, 0.3333333333333333, -0.4054651081081644, None), ('butterfly,NOUN', 'project,NOUN', 0.5, 0.09090909090909091, 1.2396908869280152, 10)]","['science,NOUN']",contradiction
47,566105,556269,entailment,The blue kayak is being ridden over a small waterfall.,A kayak is being ridden.,TEST,"[('kayak,NOUN', 'kayak,NOUN', 1.0), ('ridden,VERB', 'ridden,VERB', 1.0)]",[],entailment
48,561954,552118,contradiction,A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back.,The person is alone in the middle of the ocean.,TEST,"[('person,NOUN', 'person,NOUN', 1.0), ('large,ADJ', 'alone,ADJ', 0.5, 0.3333333333333333, 0, None), ('person,NOUN', 'middle,NOUN', 0.46153846153846156, 0.125, 1.55814461804655, 7), ('person,NOUN', 'ocean,NOUN', 0.4444444444444444, 0.16666666666666666, 1.845826690498331, 5)]",[],neutral
49,560383,550541,neutral,There is a group of children getting their picture taken with presents.,Young children open presents under a large Christmas tree.,TEST,"[('small_fry,NOUN', 'young,A', 1.0), ('tike,NOUN', 'young,A', 1.0), ('child,NOUN', 'young,A', 1.0), ('fry,NOUN', 'young,A', 1.0), ('minor,NOUN', 'young,A', 1.0), ('nestling,NOUN', 'young,A', 1.0), ('tyke,NOUN', 'young,A', 1.0), ('youngster,NOUN', 'young,A', 1.0), ('shaver,NOUN', 'young,A', 1.0), ('tiddler,NOUN', 'young,A', 1.0), ('kid,NOUN', 'young,A', 1.0), ('nipper,NOUN', 'young,A', 1.0), ('children,NOUN', 'children,NOUN', 1.0), ('presents,NOUN', 'presents,NOUN', 1.0), ('getting,VERB', 'open,VERB', 0.6666666666666666, 0.3333333333333333, 2.159484249353372, 2), ('is,VERB', 'large,ADJ', 0.5, 0.3333333333333333, 0, None), ('children,NOUN', 'tree,NOUN', 0.6666666666666666, 0.14285714285714285, 1.6916760106710724, 6)]",[],entailment
50,566067,556231,entailment,"A boy in an orange ""Spring Hill"" ball team uniform, pitching the ball.",A boy pitches the ball.,TEST,"[('boy,NOUN', 'boy,NOUN', 1.0), ('pitching,VERB', 'pitch,H', 1.0), ('ball,NOUN', 'ball,NOUN', 1.0)]",[],entailment
51,567713,557877,entailment,A young dark-haired woman with red sun visor holding an open white umbrella amidst a crowd of people,A raven haired woman is seen by the crowd holding a white opened umbrella.,TEST,"[('haired,ADJ', 'haired,ADJ', 1.0), ('woman,NOUN', 'woman,NOUN', 1.0), ('crowd,NOUN', 'crowd,NOUN', 1.0), ('holding,VERB', 'holding,VERB', 1.0), ('white,ADJ', 'white,ADJ', 1.0), ('open,ADJ', 'open,S', 1.0), ('umbrella,NOUN', 'umbrella,NOUN', 1.0), ('holding,VERB', 'seen,VERB', 0.8888888888888888, 0.5, 2.5649493574615367, 1)]","['raven,ADJ']",contradiction
52,564800,554964,neutral,Two people in coats kiss on the side of a road.,A recently engaged couple embrace on the street.,TEST,"[('Two,NUM', 'recently,ADV', 0.5, 0.3333333333333333, 0, None), ('Two,NUM', 'engaged,VERB', 0.5, 0.3333333333333333, 0, None), ('Two,NUM', 'couple,NOUN', 0.9411764705882353, 0.5, 0, 1), ('road,NOUN', 'embrace,NOUN', 0.5555555555555556, 0.1111111111111111, 1.4403615823901665, 8), ('road,NOUN', 'street,NOUN', 0.875, 0.3333333333333333, 2.538973871058276, 2)]",[],neutral
53,561690,551851,entailment,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp.",A person rides a skateboard.,TEST,"[('man,NOUN', 'person,H', 1.0), ('skateboard,NOUN', 'skateboard,NOUN', 1.0), ('young,ADJ', 'rides,VERB', 0.5, 0.3333333333333333, 0, None)]",[],entailment
54,560360,550518,contradiction,A girl jumps in the air.,A girl jumping rope on Mars.,TEST,"[('girl,NOUN', 'girl,NOUN', 1.0), ('jumps,VERB', 'jump,H', 1.0), ('girl,NOUN', 'rope,NOUN', 0.5, 0.1111111111111111, 1.4403615823901665, 8)]",[],entailment
55,560338,550496,entailment,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs.,A woman rises from a chair,TEST,"[('woman,NOUN', 'woman,NOUN', 1.0), ('rises,VERB', 'rises,VERB', 1.0), ('chair,NOUN', 'chair,NOUN', 1.0)]",[],entailment
56,567952,558116,entailment,Three people are outside.,Three people in nature.,TEST,"[('people,NOUN', 'people,NOUN', 1.0), ('people,NOUN', 'nature,NOUN', 0.4444444444444444, 0.16666666666666666, 1.845826690498331, 5)]",[],neutral
57,568133,558297,neutral,A swan landing in a lake.,A bird is looking for food on a lake.,TEST,"[('swan,NOUN', 'bird,H', 1.0), ('lake,NOUN', 'lake,NOUN', 1.0), ('lake,NOUN', 'food,NOUN', 0.46153846153846156, 0.125, 1.55814461804655, 7)]","['looking,VERB']",contradiction
58,568104,558268,neutral,A singer wearing a leather jacket performs on stage with dramatic lighting behind him.,a singer is on american idol,TEST,"[('singer,NOUN', 'singer,NOUN', 1.0)]",[],entailment
59,563064,553228,neutral,Older man wearing dark blue clothing sweeping the ground and a person wearing a red coat and carrying a green bag entering the building.,An older man is sweeping his patio while a passerby enters a building,TEST,"[('older,ADJ', 'older,ADJ', 1.0), ('man,NOUN', 'man,NOUN', 1.0), ('sweeping,VERB', 'sweeping,VERB', 1.0), ('older,ADJ', 'his,A', 1.0), ('sr.,ADJ', 'his,A', 1.0), ('elder,ADJ', 'his,A', 1.0), ('entering,VERB', 'enter,S', 1.0), ('building,NOUN', 'building,NOUN', 1.0), ('building,NOUN', 'patio,NOUN', 0.8, 0.25, 2.2512917986064953, 3), ('person,NOUN', 'passerby,NOUN', 0.7058823529411765, 0.25, 2.2512917986064953, 3)]",[],entailment
60,561483,551641,neutral,Two people bicycle on a path separated by small mountains.,Two people are in a bike race.,TEST,"[('people,NOUN', 'people,NOUN', 1.0), ('bike,NOUN', 'bike,NOUN', 1.0), ('people,NOUN', 'race,NOUN', 0.75, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
61,559416,549574,neutral,A person in a red shirt and black pants hunched over.,The person is a woman.,TEST,"[('person,NOUN', 'person,NOUN', 1.0), ('person,NOUN', 'woman,NOUN', 0.75, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
62,566423,556587,neutral,Six older women are standing in a row at a table smiling and looking trough books and other material displayed on the table.,Women are looking at books on sale at a library.,TEST,"[('women,NOUN', 'woman,H', 1.0), ('looking,VERB', 'looking,VERB', 1.0), ('books,NOUN', 'books,NOUN', 1.0), ('material,NOUN', 'sale,NOUN', 0.6153846153846154, 0.16666666666666666, 1.845826690498331, 5), ('books,NOUN', 'library,NOUN', 0.8, 0.3333333333333333, 2.538973871058276, 2)]",[],entailment
63,562717,552881,entailment,A brown and black dog rubs his face in the grass.,The dog is outside.,TEST,"[('dog,NOUN', 'dog,NOUN', 1.0), ('brown,ADJ', 'outside,ADV', 0.5, 0.3333333333333333, 0, None)]",[],entailment
64,568698,558862,entailment,"By a table with several boxes and two coffee cups on it, a woman in a green sweater is opening a small box and another person (whose head cannot be seen) is operating a small handheld electronic device.",A woman in green opening a box while a half concealed man manipulates a handheld device.,TEST,"[('woman,NOUN', 'woman,NOUN', 1.0), ('green,ADJ', 'green,ADJ', 1.0), ('opening,VERB', 'opening,VERB', 1.0), ('box,NOUN', 'box,NOUN', 1.0), ('handheld,ADJ', 'handheld,ADJ', 1.0), ('device,NOUN', 'device,NOUN', 1.0), ('it,PRON', 'half,ADV', 0.5555555555555556, 0.1111111111111111, 0, 8), ('several,ADJ', 'concealed,VERB', 0.5, 0.3333333333333333, 0, None), ('person,NOUN', 'man,NOUN', 0.8, 0.5, 2.9444389791664407, 1), ('operating,VERB', 'manipulates,VERB', 0.8571428571428571, 0.5, 2.5649493574615367, 1)]",[],entailment
65,565350,555514,contradiction,A woman finishing a marathon race.,The woman is not going to finish the race.,TEST,"[('woman,NOUN', 'woman,NOUN', 1.0), ('finish,VERB', 'finish,VERB', 1.0), ('race,NOUN', 'race,NOUN', 1.0), ('finishing,VERB', 'going,VERB', 0.6666666666666666, 0.5, 2.5649493574615367, 1)]",[],entailment
