,id_,gold_label,sentence1,sentence2,gold_label,CLASS,CLASS2.0,CLASS2
561870,42,contradiction,Men are playing rugby while covered in mud.,The men are perfectly free of mud.,contradiction,Neutral,Contradiction,Neutral
567080,43,neutral,A child with curly blond-hair looks at another child with long brown hair while sitting on a bench.,The school kids are relaxing during recess.,neutral,Neutral,Neutral,Contradiction
567481,44,entailment,A shirtless man with cropped hair smokes a cigarette and ties a plastic bag.,The man is not wearing a shirt.,entailment,Neutral,Contradiction,Neutral
563460,45,neutral,A group of people stares at a wall that is filled with drawings in a building.,A group of people analyze art together,neutral,Neutral,Neutral,Contradiction
565640,46,neutral,A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl captures a butterfly for a science fair project,neutral,Neutral,Contradiction,Contradiction
566105,47,entailment,The blue kayak is being ridden over a small waterfall.,A kayak is being ridden.,entailment,Contradiction,Entailment,Entailment
561954,48,contradiction,A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back.,The person is alone in the middle of the ocean.,contradiction,Neutral,Neutral,Contradiction
560383,49,neutral,There is a group of children getting their picture taken with presents.,Young children open presents under a large Christmas tree.,neutral,Neutral,Neutral,Neutral
566067,50,entailment,"A boy in an orange ""Spring Hill"" ball team uniform, pitching the ball.",A boy pitches the ball.,entailment,Contradiction,Entailment,Entailment
567713,51,entailment,A young dark-haired woman with red sun visor holding an open white umbrella amidst a crowd of people,A raven haired woman is seen by the crowd holding a white opened umbrella.,entailment,Neutral,Neutral,Contradiction
564800,52,neutral,Two people in coats kiss on the side of a road.,A recently engaged couple embrace on the street.,neutral,Neutral,Neutral,Neutral
561690,53,entailment,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp.",A person rides a skateboard.,entailment,Neutral,Neutral,Entailment
560360,54,contradiction,A girl jumps in the air.,A girl jumping rope on Mars.,contradiction,Neutral,Neutral,Entailment
560338,55,entailment,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs.,A woman rises from a chair,entailment,Contradiction,Entailment,Entailment
567952,56,entailment,Three people are outside.,Three people in nature.,entailment,Neutral,Neutral,Contradiction
568133,57,neutral,A swan landing in a lake.,A bird is looking for food on a lake.,neutral,Neutral,Neutral,Contradiction
568104,58,neutral,A singer wearing a leather jacket performs on stage with dramatic lighting behind him.,a singer is on american idol,neutral,Contradiction,Entailment,Entailment
563064,59,neutral,Older man wearing dark blue clothing sweeping the ground and a person wearing a red coat and carrying a green bag entering the building.,An older man is sweeping his patio while a passerby enters a building,neutral,Entailment,Entailment,Contradiction
561483,60,neutral,Two people bicycle on a path separated by small mountains.,Two people are in a bike race.,neutral,Entailment,Entailment,Entailment
559416,61,neutral,A person in a red shirt and black pants hunched over.,The person is a woman.,neutral,Entailment,Entailment,Entailment
566423,62,neutral,Six older women are standing in a row at a table smiling and looking trough books and other material displayed on the table.,Women are looking at books on sale at a library.,neutral,Neutral,Neutral,Entailment
562717,63,entailment,A brown and black dog rubs his face in the grass.,The dog is outside.,entailment,Contradiction,Neutral,Neutral
568698,64,entailment,"By a table with several boxes and two coffee cups on it, a woman in a green sweater is opening a small box and another person (whose head cannot be seen) is operating a small handheld electronic device.",A woman in green opening a box while a half concealed man manipulates a handheld device.,entailment,Neutral,Neutral,Entailment
565350,65,contradiction,A woman finishing a marathon race.,The woman is not going to finish the race.,contradiction,Neutral,Entailment,Entailment
560809,66,entailment,The man is trying to make a pottery that he can market soon.,A man is making pottery.,entailment,Contradiction,Entailment,Entailment
567006,67,entailment,A man with a beard sitting in front of the tour bus.,A guy is riding the bus.,entailment,Entailment,Entailment,Entailment
567801,68,neutral,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",A person with a great tatto,neutral,Neutral,Contradiction,Contradiction
564585,69,contradiction,"A man, with a full face mask, sits on a sidewalk playing the guitar.",A woman is wearing a mask,contradiction,Neutral,Entailment,Entailment
559660,70,entailment,"A group of four children pose on a muddy beach, smiling and making faces.",Four kids pose on a beach.,entailment,Contradiction,Entailment,Entailment
566563,71,contradiction,"A bearded man, using a wooden pole, stirs bowl-like objects around in a large metal box filled with water.",A woman is putting on mascara.,contradiction,Neutral,Entailment,Neutral
560542,72,contradiction,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A man eats a hamburger while his friend asks for a bite.,contradiction,Neutral,Neutral,Contradiction
563787,73,contradiction,a male teen is working on a school project.,The boy sitting on top of his dads truck.,contradiction,Neutral,Entailment,Contradiction
563143,74,neutral,A young man holding a young woman in his arms as they get splashed by water shooting up from a fountain.,A young couple is very much in love.,neutral,Neutral,Neutral,Neutral
560183,75,entailment,a man in a red shirt is laying on the grass reaching out to another person.,A man in red is holding out his hand.,entailment,Neutral,Entailment,Contradiction
561479,76,entailment,The small boy is running through a grassy area.,A boy is running outside.,entailment,Contradiction,Neutral,Entailment
562251,77,entailment,Women in blue dress singing on stage.,A woman is singing on stage.,entailment,Contradiction,Entailment,Entailment
562772,78,entailment,A little boy in a black and red striped shirt walks down a grassy hill.,The boy is walking outside.,entailment,Contradiction,Neutral,Entailment
566279,79,contradiction,City street crowded with sports fans wearing orange.,The sports fans are wearing yellow.,contradiction,Neutral,Neutral,Entailment
568282,80,neutral,"Stretching high in the air, the player in the black shirt reaches for the football as the other stretches toward him to steal it away.",A wide reciever is trying to make a catch.,neutral,Neutral,Neutral,Contradiction
565708,81,entailment,A man has wrecked his racing bike in the dirt with five spectators behind a rope.,A man has damaged something.,entailment,Neutral,Neutral,Contradiction
563741,82,entailment,Two men and two women in jackets walk down a large city street.,There are people outside.,entailment,Neutral,Neutral,Neutral
568351,83,entailment,A woman is observing pictures on a camera.,A women observing a camera,entailment,Contradiction,Entailment,Entailment
565633,84,contradiction,Little boy getting soaked playing an outdoor water game.,A girl is playing the piano in her living room.,contradiction,Neutral,Entailment,Contradiction
568604,85,entailment,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy dressed for summer in a green shirt and kahki shorts,entailment,Contradiction,Entailment,Entailment
562283,86,entailment,A dog is on the beach near a ball.,A dog is on the beach.,entailment,Contradiction,Entailment,Entailment
560197,87,entailment,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,entailment,Neutral,Neutral,Contradiction
568360,88,contradiction,A mother shading her baby with an umbrella as she and her partner climb the stairs.,Two fathers maneuver their baby strollers into a foyer.,contradiction,Neutral,Neutral,Contradiction
564149,89,contradiction,A man wearing red sunglasses is carrying two cameras.,The man has blue sunglasses.,contradiction,Neutral,Neutral,Entailment
559970,90,contradiction,A young boy in red leaping into sand at a playground.,A child does a cannonball into a pool.,contradiction,Neutral,Neutral,Contradiction
560650,91,neutral,"First Lady Laura Bush at podium, in front of seated audience, at the White House Conference on Global Literacy.",Laura Bush is giving a talk about the importance of literacy to young people.,neutral,Entailment,Neutral,Entailment
563420,92,entailment,Various men in wetsuits and goggles are standing.,Men are in wetsuits,entailment,Contradiction,Entailment,Entailment
564549,93,entailment,The baseball players near the pitching mound are celebrating as the batsman walks away.,The batsman is on a different team than the others around the pitching mound.,entailment,Neutral,Contradiction,Contradiction
562777,94,contradiction,A guy in a yellow shirt performs a balancing act on a taught chain near a canal.,A boy is watching a movie in his living room.,contradiction,Neutral,Entailment,Contradiction
567068,95,entailment,"A group of men in blue shirts, banded hats, and red bandannas stand in a group.",a bunch of guys in colorful clothes stand together,entailment,Entailment,Entailment,Entailment
568650,96,entailment,A woman holding a newborn baby.,woman holds baby,entailment,Contradiction,Entailment,Entailment
559485,97,contradiction,A skateboarding youth does a trick on a rail.,A man painting a tree.,contradiction,Neutral,Neutral,Contradiction
559755,98,contradiction,Four children are playing in some water.,The children are doing chores.,contradiction,Neutral,Contradiction,Contradiction
561555,99,contradiction,Three men dressed in suits and ties clasps their raised hands while standing in front of corporate logos.,One of the men is actually sasquatch.,contradiction,Contradiction,Contradiction,Contradiction
